data, time, palabras encontradas, palabras no encontradas
data/1024-0.csv,0.367913,0,7
data/1024-1-4.csv,6.72065,256,1
data/1024-1-2.csv,13.9902,512,2
data/1024-3-4.csv,19.6512,768,0
data/1024-1.csv,27.0179,1024,0
data/4096-0.csv,0.985655,0,19
data/4096-1-4.csv,26.8547,1024,10
data/4096-1-2.csv,53.6431,2048,4
data/4096-3-4.csv,79.1982,3072,2
data/4096-1.csv,103.789,4096,0
data/16384-0.csv,4.20372,0,82
data/16384-1-4.csv,110.411,4096,67
data/16384-1-2.csv,209.722,8192,34
data/16384-3-4.csv,316.979,12288,13
data/16384-1.csv,419.9,16384,0
data/65536-0.csv,16.7306,0,326
data/65536-1-4.csv,432.337,16384,273
data/65536-1-2.csv,852.242,32768,156
data/65536-3-4.csv,1223.26,49152,92
data/65536-1.csv,1685.26,65536,0
