data, time, palabras encontradas, palabras no encontradas
data/1024-0.csv,0.528961,0,10
data/1024-1-4.csv,7.18741,256,8
data/1024-1-2.csv,13.8112,512,4
data/1024-3-4.csv,19.2,768,0
data/1024-1.csv,26.4436,1024,0
data/4096-0.csv,1.31087,0,26
data/4096-1-4.csv,26.8977,1024,23
data/4096-1-2.csv,52.8979,2048,10
data/4096-3-4.csv,78.3194,3072,6
data/4096-1.csv,103.621,4096,0
data/16384-0.csv,5.89528,0,110
data/16384-1-4.csv,115.972,4096,93
data/16384-1-2.csv,221.266,8192,49
data/16384-3-4.csv,333.361,12288,39
data/16384-1.csv,442.447,16384,0
data/65536-0.csv,23.0376,0,430
data/65536-1-4.csv,458.775,16384,321
data/65536-1-2.csv,903.319,32768,202
data/65536-3-4.csv,1315.3,49152,107
data/65536-1.csv,1754.36,65536,0
