data, time, palabras encontradas, palabras no encontradas
data/1024-0.csv,48.9349,0,1024
data/1024-1-4.csv,43.5489,256,768
data/1024-1-2.csv,38.1368,512,512
data/1024-3-4.csv,31.1139,768,256
data/1024-1.csv,25.6089,1024,0
data/4096-0.csv,197.248,0,4096
data/4096-1-4.csv,172.337,1024,3072
data/4096-1-2.csv,148.227,2048,2048
data/4096-3-4.csv,124.017,3072,1024
data/4096-1.csv,97.9316,4096,0
data/16384-0.csv,787.466,0,16385
data/16384-1-4.csv,693.103,4096,12288
data/16384-1-2.csv,592.569,8192,8192
data/16384-3-4.csv,494.32,12288,4096
data/16384-1.csv,393.173,16384,0
data/65536-0.csv,3139.95,0,65537
data/65536-1-4.csv,2889.46,16384,49153 
data/65536-1-2.csv,2400.35,32768,32768
data/65536-3-4.csv,1988.64,49152,16385
data/65536-1.csv,1599.33,65536,0
