data, time, palabras encontradas, palabras no encontradas
data/1024-0.csv,0.00164384,0,0
data/1024-1-4.csv,7.33217,256,1
data/1024-1-2.csv,15.1538,512,0
data/1024-3-4.csv,21.6646,768,0
data/1024-1.csv,29.7439,1024,0
data/4096-0.csv,0.0622804,0,1
data/4096-1-4.csv,27.7381,1024,0
data/4096-1-2.csv,55.8657,2048,1
data/4096-3-4.csv,82.9399,3072,0
data/4096-1.csv,108.47,4096,0
data/16384-0.csv,0.442681,0,8
data/16384-1-4.csv,111.213,4096,6
data/16384-1-2.csv,217.384,8192,11
data/16384-3-4.csv,329.263,12288,3
data/16384-1.csv,437.221,16384,0
data/65536-0.csv,2.05363,0,38
data/65536-1-4.csv,439.458,16384,39
data/65536-1-2.csv,874.538,32768,18
data/65536-3-4.csv,1307.55,49152,11
data/65536-1.csv,1752.46,65536,0
