data, time, palabras encontradas, palabras no encontradas
1024-0.csv,48.9349,0,1024
1024-1-4.csv,43.5489,256,768
1024-1-2.csv,38.1368,512,512
1024-3-4.csv,31.1139,768,256
1024-1.csv,25.6089,1024,0
4096-0.csv,197.248,0,4096
4096-1-4.csv,172.337,1024,3072
4096-1-2.csv,148.227,2048,2048
4096-3-4.csv,124.017,3072,1024
4096-1.csv,97.9316,4096,0
16384-0.csv,787.466,0,16385
16384-1-4.csv,693.103,4096,12288
16384-1-2.csv,592.569,8192,8192
16384-3-4.csv,494.32,12288,4096
16384-1.csv,393.173,16384,0
65536-0.csv,3139.95,0,65537
65536-1-4.csv,2889.46,16384,49153 
65536-1-2.csv,2400.35,32768,32768
65536-3-4.csv,1988.64,49152,16385
65536-1.csv,1599.33,65536,0
